name,length,count_sentences,count_tokens,sentences
020.txt,3315,25,632,"The government's response to the plan for a four-tier diploma to replace all existing 14-19 qualifications is expected next week. Some are worried it could be scuppered if, as Tony Blair and Ruth Kelly have suggested, GCSEs and A-levels stay."
021.txt,2859,22,569,"In a speech in Edinburgh, the prime minister said Thursday's report reinforced stability and opportunity. And that would be central to Labour's next election campaign, planning for which was already well advanced."
022.txt,2523,20,483,Tony Blair has said he does not want higher tax rates for top earners but on Wednesday said other tax promises would be left to Labour's manifesto. Prime minister's questions also saw Mr Blair predict that new plans would probably cut net immigration.
023.txt,2083,15,364,"The e-University was scrapped last year, having attracted only 900 students at a cost of Â£50m. Chief executive John Beaumont was paid a bonus of Â£44,914, despite a failure to bring in private sector backers."
024.txt,1499,11,285,Mr Brown's trip is designed to highlight how the UK wants to make Africa's problems a priority of its chairmanship of the G8 this year. He will see an HIV/Aids orphanage in Tanzania and a women's credit union in Mozambique before chairing a meeting of the Commission for Africa in Cape Town.
025.txt,1482,12,276,"Barbara Roche said an organisation should monitor and publish figures and be independent of government. She said this would counter ""so-called independent"" groups like Migration Watch, which she described as an anti-immigration body posing as independent."
026.txt,1462,11,289,July's G8 summit in Gleneagles in Perthshire - chaired by the prime minister - will use the report as the basis for talks on Africa. The announcement followed the final meeting of the commission - which includes singer Bob Geldof - in London.
027.txt,4022,29,774,"He also attacked the way the Iraq war was ""sold"" to the public, with important warnings on the strength of the intelligence left out. Tory leader Michael Howard said Lord Butler had given the ""most damaging testimony"" he could remember."
028.txt,1420,12,278,Sir Alan Budd's inquiry linked the ex-home secretary to the speeding up of a visa claim by his ex-lover's nanny. But he could not say whether Mr Blunkett had treated the nanny as a special case or had used her as an example of immigration problems.
029.txt,2542,19,466,"The Bahamas, East Timor, Madagascar and Swaziland are among the areas affected by the biggest shake-up for the diplomatic service for years. Other diplomatic posts are being turned over to local staff."
030.txt,2285,20,399,"Serial truants make up one in 13 pupils. Previous initiatives brought 40,000 pupils back to school since 1997, according to official statistics."
031.txt,2842,22,518,"The home secretary confirmed the review was to get under way in the wake of a Law Commission report which branded the current murder law as ""a mess"". He said the review would look at partial defences to murder, including provocation and at mandatory sentences."
032.txt,2106,18,378,"The Countryside Alliance says it expects up to 4,000 supporters to demonstrate against the hunting ban. They have agreed to keep to a demonstration site on the other side of the River Tyne from the conference venue in Gateshead."
033.txt,2781,22,509,BAA's expansion of Stansted Airport in Essex by building an extra runway is one of the most fiercely opposed plans. Opponents say the Â£2bn cost of the new runway could not be met unless cash from Heathrow and Gatwick was used.
034.txt,2647,20,508,"The government has ruled out amending the present law, which allows ""reasonable force"" in self defence. Mr Howard branded the decision unacceptable, saying: ""It is not householders who should be frightened, it's the burglars."""
035.txt,1413,11,254,The Downing Street talks covered a range of other topics ahead of an EU summit in Brussels later in the week. Mr Blair is an enthusiastic proponent of talks to bring Turkey within the recently-expanded EU.
036.txt,2358,20,465,"In his New Year message the Liberal Democrat leader said Labour and the Conservatives were united in relying on fear and ""populist scares"". He said his party was the one of hope and was ready for a 2005 poll."
037.txt,1290,11,237,Elected in a safe Labour seat in 2001 his previous job was school standards minister - a role he won in May 2002. Prior to the last election he was a key figure in New Labour as the head of the Downing Street policy unit where he was a key member of the manifesto writing team.
038.txt,1931,13,349,"They will mark the 36th anniversary of the line closure, which ran from Edinburgh through the Borders and on to Carlisle, with a walk at Tweedbank. Anne Borthwick, of Campaign for Borders Rail, said reopening the Waverley Line would restore the area's prosperity."
039.txt,3150,28,609,"Shani Rhys James is worried that the Arts Council of Wales may be taken over by the Welsh Assembly Government. Culture Minister Alun Pugh said it would be ""crass and ignorant"" to liken a quango review to Hitler's Germany."
040.txt,3420,23,652,"The foreign secretary said the right to life was the ""most important liberty"" and the government had a duty to protect people from terrorism. Law lords were ""simply wrong"" to imply the men were being held arbitrarily."
041.txt,3850,28,721,"His responsibilities in running the Home Office included civil emergencies, security, terrorism and expenditure. Named home secretary after the 2001 general election, Mr Blunkett had seen the focus on his office intensify."
042.txt,3199,25,597,"The Cabinet Office has confirmed it is reviewing the current pension system, prompting unions representing 4.5m workers to threaten united action. They believe the plans include raising the mandatory retirement age for public service workers from 60 to 65."
043.txt,1431,12,295,"A survey for the charity suggests 69% of over-55s say they always vote in a general election compared with just 17% of 18 to 24 year olds. Charity boss Gordon Lishman said if a ""decisive blow"" was struck at the election it would be by older voters who could be relied on to turn out."
044.txt,1338,12,247,Aides from the Duchy of Lancaster and Duchy of Cornwall will appear before the Commons Public Accounts Committee. It has been reported they could be questioned about Prince Charles' spending on Camilla Parker Bowles.
045.txt,1645,14,317,"The Edinburgh MSP earns up to Â£30,000 a year from the law firm Tods Murray, where he is a partner. Mr McLetchie said he has taken advice from Holyrood officials about what details he needs to declare."
046.txt,2565,19,489,Mr Blunkett's conduct is being looked at to establish whether he abused his position in relation to his ex-lover. The Parliamentary standards watchdog is looking at his decision to give Kimberly Quinn free rail tickets.
047.txt,2981,19,565,"However, Lifelong Learning Minister Jim Wallace said that this would not result in Scottish students missing out. Applications from England and Wales rose by 17% between January 2005 and the previous year, up 23,600 to 27,700."
048.txt,3269,21,595,"Sloppy wording of the draft animal welfare bill could leave anglers facing court even though it was not intended, the environment select committee said. The MPs said they were ""concerned"" the government had not consulted directly on its plans to improve animal welfare."
049.txt,2765,22,539,"The Lib Dem leader said David Blunkett's resignation was a ""good opportunity"" to question whether the legislation was necessary. But Mr Clarke said he had supported the plans when Mr Blunkett argued for them in Cabinet and he supported them now."
050.txt,4130,27,769,"He told the Scottish Parliament on Wednesday that a ""comprehensive ban"" on smoking in public places would be introduced by the spring of 2006. Mr McConnell said the country's health rates were ""lamentable"" not least because of smoking."
051.txt,2396,16,430,"The Constitutional Affairs Select Committee said parents with custody could exploit delays in the system to stop former partners gaining access. Courts should be used as a last resort, but where they are, their orders should be enforced more rigorously, MPs said."
052.txt,2613,15,488,"Amitai Etzioni, a key influence on New Labour thinking, says the US emphasis on an ""Axis of Evil"" is misplaced. The priority should instead be on ""failing states"", including Russia and Pakistan, who cannot properly control their nuclear material, he argues."
053.txt,3256,24,644,"Viktor Makarov, 50, claims he has been betrayed by the British authorities, who promised he would live like an ""average British citizen"". But despite a Â£65,000 settlement four years ago, he says he has been denied defector status and a decent pension."
054.txt,1457,12,288,"Vince Cable, the party's Treasury spokesman, said raising the threshold to Â£150,000 would prevent over 400,000 home-buyers from paying the tax. He said first-time buyers were being ""squeezed out"" of the housing market."
055.txt,3174,25,574,"Ms Kelly told the BBC progress had been made against severely disruptive children but parents were still worried about lower level problems. The minister also confirmed she received ""spiritual support"" from the Catholic movement Opus Dei."
056.txt,3108,23,549,"The idea will be tried as part of an overhaul of the way government approaches ""inclusive citizenship"" particularly for ethnic minorities. A pilot scheme based on ceremonies in Australia will start in October."
057.txt,1305,11,238,"Great Ormond Street Hospital professor of child health, Al Aynsley-Green, was chosen by the government and will start the Â£100,000-a-year job immediately. He will oversee a Â£2.5m annual budget and have the power to look into ""any matter relating to the interests and well-being of children""."
058.txt,2244,18,447,The 15-year-old ban was imposed in the aftermath of China's crackdown on protesters in Tiananmen Square. Mr Straw told a Commons select committee human rights concerns over China remained.
059.txt,3011,20,555,"Fears that big donors can buy political favours have sparked calls for a limit. In a new report, the Electoral Commission says it is worth debating a Â£10,000 cap for the future but now is not the right time to introduce it."
060.txt,2499,18,515,"The head of the Catholic Church in England and Wales made the comments on BBC Radio 4 and will re-iterate his stance in his Christmas Midnight Mass. The cardinal used a Christmas message to denounce the war in Iraq as a ""terrible"" waste of money."
061.txt,1878,17,356,"Royal Mail says it is investigating the situation, which has meant about 300 homes in County Durham are not receiving voting packs. Officials at Darlington Council are now in a race against time to try and rectify the situation."
062.txt,3457,24,663,"The event is being held by the Muslim Association of Britain (MAB), which believes Muslim voters could influence the result in up to 50 constituencies. Last year MAB, which opposed the war in Iraq, urged Muslims not to vote for Labour in the European elections."
063.txt,1506,11,291,Support is being sought for a bill which would ensure that large retailers in Scotland remain closed on Christmas Day and 1 January. The Usdaw trade union said shop workers should be able to enjoy a break with their families.
064.txt,1853,14,355,"Mr Blair has been a leading advocate of Turkish membership despite controversy surrounding the idea. Leaving a Brussels summit Mr Blair said ""the fact Turkey is a Muslim country does not mean it should be barred""."
065.txt,2664,20,505,"A letter sent to Martin Mubanga said his British passport would not be issued in the light of evidence gathered against him by the US. This suggested he was likely to take part in action against UK or allied targets if he left Britain, it said."
066.txt,3095,25,607,"The men were arrested in September after bursting into the chamber causing a hunting ban debate to be halted. Those charged included Otis Ferry, the 22-year-old son of rock star Bryan Ferry and Luke Tomlinson, 27, a close friend of princes William and Harry."
067.txt,3536,26,664,"Curfews and community service orders were other options which could be used if court orders to allow parental access were defied, Lord Falconer said. The constitutional affairs secretary outlined some of the plans on Tuesday."
068.txt,3388,27,618,"The bill would give legal force to ""living wills"", where people say they want medical treatment withheld if they become severely incapacitated. The Mental Capacity Bill has broad support from charities who say it would give better safeguards over treatment."
069.txt,2285,20,422,Five public sector unions will hold private talks with Deputy Prime Minister John Prescott at Labour's spring conference in Gateshead. They want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65.
070.txt,3157,23,597,"Michael Howard said he would not back the Home Secretary's plans for ""control orders"" which include home detention. ""I do not believe that anyone should be deprived of their liberty on the say so of a politician,"" he said."
071.txt,1723,12,308,"Pressure was placed on staff to be efficient, rather than to do a thorough examination of an application, the Public Accounts Committee found. Every officer had an annual target of 8,000 applications - equivalent to 40 a day or one every 11 minutes."
072.txt,3155,25,612,MPs voted in favour of the Prevention of Terrorism Bill after Mr Clarke agreed to key changes - but Labour's majority was reduced to 14. The Bill now faces opposition from peers angry at house arrest proposals.
073.txt,2239,17,440,The legislation would have ended the right of male heirs with older sisters to succeed to the Crown. It would also have torn up ancient legislation banning heirs to the throne marrying Roman Catholics.
074.txt,1268,11,220,A party spokesman said Nick Griffin was arrested on Tuesday morning on suspicion of incitement to commit racial hatred. West Yorkshire police confirmed they had arrested a 45-year-old man from outside their area.
075.txt,2554,16,515,"Mr Johnson also claimed Tony Blair's intervention in the row was ""an attempt to reassure Jewish voters"". London mayor Mr Livingstone says he is ""standing by"" his remarks which likened an Evening Standard journalist to a ""concentration camp guard""."
076.txt,2491,16,462,"A National Audit Office report on the 20 biggest projects says costs have risen by Â£1.7bn in the past year. It says there is ""little evidence"" the MoD's performance had improved, despite the introduction of a ""smart acquisition"" policy six years ago."
077.txt,1456,10,281,"The Budget, likely to be the last before the General Election, will be at 1230 GMT on that Wednesday, just after Prime Minister's question time. The annual event is when the chancellor outlines the government's taxation and broader economic predictions."
078.txt,3979,28,725,"The trial scheme, which could start in weeks, may be extended to apply to children from other countries. Children's charities have reacted with alarm, saying the policy amounts to forcible removal and may not guarantee the safety of those affected."
079.txt,2913,22,518,"Those are some of the mistakes found under the current system, where one person in each household applies for voting forms for the other occupants. The Electoral Commission says enabling people to register individually could cut some errors and combat fraud."
080.txt,3104,27,575,"The National Audit Office praised ministers for reaching the benchmark of 750,000 adults in England gaining basic qualifications by this year. But a target of 1.5 million more by 2010 needed ""creative"" ideas."
081.txt,2002,18,393,"The shadow cabinet revealed its support ahead of next week's Commons vote on a bill to introduce compulsory ID. The decision follows a ""tough meeting"" where some senior Tories argued vociferously against the move, party sources told the BBC."
082.txt,3104,26,598,"Shadow foreign secretary Michael Ancram told MPs a new White Paper was part of trying to soften up opinion ahead of the referendum on the EU constitution. His claims were denied by Foreign Secretary Jack Straw, who accused the Tories of ""running scared"" of debate."
083.txt,1569,15,341,"Mr Hague, 43, told the Daily Telegraph he would now find a life dominated by politics too ""boring"" and unfulfilling. Mr Hague, who stepped down after his party's 2001 election defeat, does not rule out a return to the front bench."
084.txt,1556,13,294,Public and Commercial Services union members have already voted to strike over cuts for one day on 5 November. The TUC said cuts would deliver less than 6% of the Â£22bn ministers hope to save through efficiency reforms.
085.txt,3121,22,575,Essential Guide to British Quangos 2005 author Dan Lewis said at least 111 of the appointed bodies had been set up since Labour won power in 1997. He urged a limit on the number of quangos that could be set up by any individual government department.
086.txt,2382,22,460,"The controversial issue was a feature of the recent US presidential election, where George Bush opposed extending it. But the Tory leader argued there was a moral case for embracing science which could help victims of Alzheimer's, Parkinson's and Motor Neurone disease."
087.txt,3721,27,686,"As his party set out detailed asylum reform plans, Mr Howard said they would help smash people smuggling gangs. There would be an annual limit on asylum and all claims would be processed overseas."
088.txt,3302,29,637,The parties say they can stick to the rules by ensuring that their calls are not marketing - for instance by asking about people's voting intentions. The Lib Dems are asking the watchdog overseeing the rules to stop the calls.
089.txt,3579,26,669,"The Scottish Conservative leader had insisted that his legal work with Tods Murray did not influence the causes he supports. But on Friday he said: ""I have tendered my resignation as a partner with immediate effect."""
090.txt,1731,14,290,Experts are giving evidence on the subject to the Scottish Parliament's environment committee. Officials believe nuclear energy and wind farms may be better options than trying to tackle global warming.
091.txt,1108,8,199,"The party says the plans could save the average pensioner Â£100 every year and cut winter deaths. The government gives Â£200 for winter fuel to households with people over 60, or Â£300 where people are over 80."
092.txt,2450,19,447,Ten areas have already had access to special prosecutors and local experts and the government is now expanding the crackdown to more towns and cities. Details of how many anti-social behaviour orders (Asbos) were used in the last year are also being published.
093.txt,1584,11,304,"In a speech focusing on issues arising from the re-election of George W Bush, Mr Kennedy said Iraq had become a ""crucible of militant terrorism"". He wants to see a phased withdrawal of UK troops ""as soon as the situation allows"", he said in London."
094.txt,3010,21,579,Jack McConnell was speaking to more than 100 secondary pupils from schools in the Highlands about the problems of binge drinking and drink promotions. He has been criticised by the SNP for encouraging young people to get drunk.
095.txt,2622,17,507,"Jonathan Baume, of the top civil servants' union, spoke of ""competing agendas"" between Mr Brown and Mr Blair. But the chancellor said Mr Baume was never at meetings between himself and the prime minister so could not judge."
096.txt,2137,18,422,"The plan forms part of the party's ""smaller government bill"", to be unveiled later this week. Mr Howard told the Sunday Times the party would also reduce the number of government special advisers."
097.txt,2967,20,574,"Home Secretary Charles Clarke told the Times he hoped agreement with several countries could be reached. The move follows a Law Lords judgement that the detention of 12 men at Belmarsh prison, London, and Woodhill, Milton Keynes, was unlawful."
098.txt,2132,15,398,A report by the Fraser of Allander Institute says the decision to push ahead with the flagship policy was based on flawed research. Deputy Health Minister Rhona Brankin has pledged to study the research.
099.txt,2629,20,485,"The prime minister is trying to draw a line under speculation over the state of his relationship with Gordon Brown with the speech in Chatham, Kent. He is saying that prosperity means both individual wealth and ensuring ""radically improved"" public services."
100.txt,3532,29,699,"Martin Mubanga claimed in the Observer that an MI6 officer played a key role in consigning him to the US camp in Cuba, following his arrest in Zambia. Mr Mubanga, 32, from Wembley, London, said he was brutally interrogated and daubed with urine at the camp."
101.txt,3449,26,660,"Finance Minister Sue Essex said it was a ""good deal"" for local government. The Â£3.2bn settlement includes the ""full"" Â£7.4m from the UK Treasury announced by Chancellor Gordon Brown."
102.txt,2688,24,550,"The Tories and the Lib Dems have called for a second inquiry into the fast-tracking of a visa application for Mr Blunkett's ex-lover's nanny. Sir Alan Budd found a ""chain of events"" linked Mr Blunkett to Leoncia Casalme's indefinite leave to remain application."
103.txt,2276,17,418,"Payment levels vary from area to area, with some carers getting just Â£50 a week for clothes, food and other costs. Minister for Children, Young People and Families Margaret Hodge said new plans will ensure fosterers' allowances would be as fair as possible."
104.txt,2847,22,545,"Mrs Parker Bowles will take the title HRH Duchess of Cornwall after a civil ceremony to be held at Windsor Castle. A Daily Telegraph poll of 1,313 people suggests two-thirds of Britons support the couple's decision to marry."
105.txt,3244,24,609,"Hazel Blears said innocent Muslims would be targeted because of the search for Islamic extremists. Qualifications for religious leaders to enter the UK could also be made tougher, she told a Commons inquiry."
106.txt,2910,26,575,The Tory leader said English local authorities have spent more than Â£3bn - or Â£140 per household - on asylum since Labour won power in 1997. Mr Howard is expected to tell activists in Kent that voters' tolerance and desire to help others are being abused.
107.txt,2082,15,414,He said ensuring every child in Britain had the best start in life could be a legacy to match the NHS's creation. The chancellor has previously planned the party's election strategy but this time the role will be filled by Alan Milburn - a key ally of Tony Blair.
108.txt,1061,8,203,"The move by Amicus and the Transport and General Workers Union (TGWU) would be a seen as a bid to carry more weight with ministers and employers. Amicus has 1.2 million members and the TGWU has 800,000."
109.txt,1909,13,337,A government-commissioned study ranked the UK third in its world index of use of information and communication technology (ICT). The report suggests 69% of UK firms are now using broadband and that 30% of micro businesses are trading online.
110.txt,2844,27,576,"""Britain is heading in the wrong direction"", the Conservative leader said in his New Year message. Mr Blair's government was a ""bossy, interfering government that takes decisions that should be made by individuals,"" he added."
111.txt,5426,53,1057,"Mr Kilroy-Silk, who recently quit the UK Independence Party,said ""our country"" was being ""stolen from us"" by mass immigration. He told a London news conference that Veritas - Latin for ""truth"" - would avoid the old parties' ""lies and spin""."
112.txt,2171,18,433,But nearly half those surveyed said Mr Blunkett should return to Cabinet if Labour won the next election. Some 63% of respondents in the Sunday Times poll thought his former lover - Kimberly Quinn - acted vindictively and 61% that he had been right to resign.
113.txt,1757,19,390,"Lucy, 36, tracked down Mr Pound after her birth mother told her he was known as ""Precious"" at school. Despite being told he was a ""nutter who died at sea"" she found a reference to Mr Pound on Friends Reunited."
114.txt,1773,13,330,Edinburgh City Council is to ballot constituents on proposals to introduce congestion charging in the capital. But Green MSP Mark Ballard fears people not on the council's edited electoral register may miss out.
115.txt,3450,24,650,University College London research claims cutting the limit from 80mg of alcohol per 100ml of blood to 50mg would save 65 lives a year. The findings are being published by the Parliamentary Advisory Council for Transport Safety as MPs are due to vote on the government's Road Safety Bill.
116.txt,3024,21,592,"But he said replacing the controversial CSA would be ""the nuclear option"". A report by the Commons work and pensions committee called for the agency to be wound up unless it improved its service within weeks."
117.txt,1538,15,315,"Baroness Boothroyd, who was the first woman to be Commons Speaker, said she believed Tony Blair initiated reforms without a clear outcome in mind. ""Now we have to take care of it ourselves and make the best of it,"" she told the BBC's Breakfast with Frost."
118.txt,2497,20,479,Lord Falconer wants all crown courts and 90% of magistrates' courts to have facilities to keep witnesses separate from defendants within four years. More video links will also be made available so that witnesses do not have to enter courtrooms.
119.txt,2798,21,539,"The peer enjoyed a celebrated judicial career, serving as Law Commission chairman in its first seven years. He also chaired the 1969 tribunal set up to investigate civil disturbances in Northern Ireland."
120.txt,2255,18,453,"Mr Howard, whose grandmother died in Auschwitz, said many people would be offended by the prince's actions Clarence House has issued a statement saying the prince has apologised and realised it had been a poor costume. Number 10 said an error was made but now Harry had apologised the matter should be left to the palace."
121.txt,3247,28,630,"Welsh Health Minister Jane Hutt said no patient would wait more than 12 months for an outpatient appointment by March 2006, against a current target of 18 months. But she said the target for an inpatient appointment would remain at 12 months for March 2006."
122.txt,3393,27,665,"A positive test for TB would mean visa applications being turned down, while HIV would be dealt with case by case. Leader Michael Howard said the checks on new arrivals would help protect public health and the NHS."
123.txt,960,8,173,"The Â£200 handheld computers can be used as a phone, pager or to send e-mails. The devices gained new prominence this week after Alastair Campbell used his to accidentally send an expletive-laden message to a Newsnight journalist."
124.txt,3508,22,712,"Dr Brian Gibbons, on his first full day in the job after Jane Hutt was sacked, admitted ""big challenges"" but insisted the ""essentials"" were in place. But both Plaid Cymru and the Liberal Democrats said Dr Gibbons needed to change policy."
125.txt,2214,19,436,"John Houston, 54, was due to stand in the East Kilbride seat in Lanarkshire at the next election. But he was suspended after his reported views, including the return of the British Empire, were sent to two Scottish newspapers."
126.txt,2682,25,528,"""America has spoken. The rest of the world should listen,"" the prime minister said in an interview with The Times newspaper, published on Friday."
127.txt,3625,27,692,The chancellor is due to outline a series of key targets the government will be judged on in 2005. They will include doubling aid from donor countries and eliminating debt owed by the poorest nations.
128.txt,3712,31,710,"In an upbeat pre-Budget report, he slightly increased borrowing but insisted economic targets would be met. The chancellor also hailed the longest period of growth in UK ""industrial history"" but denied he was ""gloating""."
129.txt,1378,10,241,The news came as it emerged France had begun evacuating its hostages after days of anti-French demonstrations. Trouble flared after nine French peacekeepers were killed and President Jacques Chirac ordered the destruction of the Ivory Coast's air force.
130.txt,2637,22,505,"Some 45 million children will die needlessly before 2015 and aid budgets are half their 1960 levels, Oxfam says in a report, Paying the Price. The call comes as the prime minister prepares to assume the presidency of the G8 of top industrialised nations."
131.txt,2161,14,390,"They had appealed against a High Court decision that it was not unlawful for police to forcibly turn protestors away near RAF Fairford, Glos, in 2003. The police had also sought to overturn a breach of human rights ruling arising from the same case."
132.txt,1959,14,363,"This was why the government was considering scrapping the retirement age entirely, Alan Johnson said. It was also committed to ""stamping out"" age discrimination and would outlaw it, he told a conference on ageing."
133.txt,1685,15,335,"She told the Guardian newspaper there would be no ""Las Vegas-style"" super-casinos, as rumoured in the press. Meanwhile Labour backbencher Stephen Pound labelled casino-related regeneration schemes ""a pile of pants""."
134.txt,2638,20,521,"The law faces a stiff test this weekend, with the Countryside Alliance saying many hunts will be out in force. Chief police officers spokesman Nigel Yeo said he expected most people would obey the law - by drag hunting or chasing foxes then shooting them."
135.txt,3516,29,681,"The prime minister was speaking publicly for the first time since returning from his holiday in Egypt. Mr Blair insisted he had been ""intimately involved"" in ""all decisions at all times"" despite being abroad."
136.txt,2804,23,552,"The 15 year embargo was imposed in the aftermath of China's crackdown on protesters in Tiananmen Square in 1989. UK Foreign Secretary Jack Straw, who will hold talks in Beijing on Thursday, said an EU arms code was more effective than the current ban."
137.txt,3514,27,676,"The Countryside Alliance called on hunt supporters to meet as normal, but vowed to stay within the law. Although hunting with dogs is now a criminal offence, exercising hounds, chasing a scent trail and flushing out foxes to be shot are still legal."
138.txt,2474,16,452,"The National Audit Office said although the latest figures showed reported fraud was falling, the EU still had no common definition of fraud. It also expressed concern that, for the 10th year, the European Court of Auditors had qualified the EU accounts."
139.txt,1845,15,348,"Foreign Secretary Jack Straw, touring South East Asian countries, praised the ""spirit of cooperation"" in achieving the breakthrough. Media reports in both countries describe the deal as a major step in the ongoing peace process."
140.txt,1369,12,254,"An estimated 25,000 girls and women were raped during the 1994 genocide. About 800,000 Tutsis and moderate Hutus were killed by Hutu militias after the assassination of an ethnic Hutu leader."
141.txt,3153,27,620,"The Tory leader said his front bench team had reached a ""collective view"" after holding a ""good discussion"", but admitted it was ""not an easy issue"". He had decided to support the plans as the police said they would help fight terror, crime and illegal immigration."
142.txt,3213,24,642,"It will be: ""Should the United Kingdom approve the treaty establishing a constitution for the European Union?"" The constitution will be incorporated into UK law if there is a yes vote in the referendum, expected in 2006."
143.txt,2604,17,515,"Shahid Malik, who is on Labour's ruling NEC, accepted people's frustration but said there should be targets not lists to boost representation of minorities. Just 13 of Britain's 659 MPs are from ethnic minority groups, he added."
144.txt,1227,13,257,"Quentin Davies, the MP for Grantham and Stamford, was attacked in a notoriously dangerous park in the capital, Nairobi. He was not hurt in the mugging on Saturday evening."
145.txt,982,9,189,"Nicholas Betts-Green, who had been selected to fight the Suffolk Coastal seat, quit after reports in a newspaper that he attended a BNP meeting. The former teacher confirmed he had attended the meeting but said that was the only contact he had with the group."
146.txt,2252,18,423,The government has confirmed intermediate level waste (ILW) that was to have been shipped back to its home countries will now be stored in the UK. The cash raised will go towards the UK's nuclear clean-up programme.
147.txt,2781,23,541,Home Secretary Charles Clarke has been quoted as telling Labour members he wants more migrants to come to the UK. Tory co-chairman Liam Fox said the comments were at odds with Tony Blair's prediction of a net cut in immigration.
148.txt,2662,24,499,"Police found the trio handling unsealed postal ballots in a deserted warehouse in the city during a late-night raid in June 2004, the hearing was told. The votes were later counted towards that month's English local elections."
149.txt,2437,17,460,"Mr Blair held talks with his Israeli counterpart, Ariel Sharon, and the Palestinian leader, Mahmoud Abbas. He confirmed that a renewed drive to reform the Palestinian Authority and address security issues would come at a London conference in March."
150.txt,1455,12,280,"Mrs Hassan, 59, who led Care International operations in Iraq, was abducted in Baghdad on 19 October. Mr Galloway was expelled from the Labour party because of his staunch opposition to the war on Iraq."
151.txt,2712,24,533,"Moazzam Begg, Martin Mubanga, Feroz Abbasi and Richard Belmar were held for three years, accused of al-Qaeda links. Mr Begg's father, Azmat, said he had been told he could see his son for 20 minutes and would say he was ""a hero""."
